ID,Survey Link ,Format,"Speaks to: Reliability, Safety, Affordability",Data Set Name,Description,Data Publisher,Data Steward Contact,Link to Open Data Format,Original Source / WebApplication (non-open format),Comments,
11,http://bit.ly/WaterChallengeDatasetSurvey,Tabular,ALL,"California Population Projection by County, Age, Gender and Ethnicity","California county population projections by age, gender and ethnicity for 1970-2050, developed by the CA Department of Finance. Updated 05-23-2018",Department of Finance,opendata@state.ca.gov,https://data.ca.gov/dataset/california-population-projection-county-age-gender-and-ethnicity,,,
12,http://bit.ly/WaterChallengeDatasetSurvey,Tabular,Safety,State Water Resources Control Board Division of Water Quality - GAMA Geotracker*,"Water quality conditions, groundwater basin. Wolfram Candidate",SWRCB- State Water Resources Control Board,waterdata@waterboards.ca.gov,https://data.ca.gov/dataset/geotracker-gama,https://geotracker.waterboards.ca.gov/gama/,,
13,http://bit.ly/WaterChallengeDatasetSurvey,Tabular,Reliability,Urban Water Management Plans,"Urban Water Management Plans (UWMPs) are prepared by California's urban water suppliers to support their long-term resource planning, and ensure adequate water supplies are available to meet existing and future water demands.Every urban water supplier that either provides over 3,000 acre-feet of water annually, or serves more than 3,000 urban connections is required to assess the reliability of its water sources over a 20-year planning horizon. The plans must be prepared every 5 years and submitted to the Department of Water Resources (DWR). For additional information please visit: http://www.water.ca.gov/urbanwatermanagement/ ",DWR- Department of Water Resources ,WUEdata,N/A,https://wuedata.water.ca.gov/,,
14,http://bit.ly/WaterChallengeDatasetSurvey,Tabular,ALL,Well Completion Reports - Well Log Data*,This Well Completion Report dataset represents an index of records from the California Department of Water Resources' (DWR) Online System for Well Completion Reports (OSWCR). This dataset is for informational purposes only. The majority of well completion reports have been spatially registered to the center of the 1x1 mile Public Land Survey System section that the well is located in. Wolfram Candidate,DWR- Department of Water Resources ,Ben Breezing,https://data.cnra.ca.gov/dataset/well-completion-reports,https://dwr.maps.arcgis.com/apps/webappviewer/index.html?id=181078580a214c0986e2da28f8623b37,,
15,http://bit.ly/WaterChallengeDatasetSurvey,"Boundary, geographic",Affordability,"Disadvantaged Communities Mapping*
 
Coming soon!
","Copy of statewide Census Block Group GIS Tiger file with additional Disadvantaged Community (DAC) information. Used to determine if a block group (BG) is a DAC or not by adding ACS (American Community Survey) Median Household Income (MHI) data at the BG level. The IRWM web based DAC mapping tool uses this GIS layer. Every year this table gets updated after ACS publishes their updated MHI estimates. Created by joining 2016 DAC table to 2010 Block Group feature class.  
",DWR- Department of Water Resources ,Salma Kibrya,Coming,"https://gis.water.ca.gov/arcgis/rest/services/Boundaries/i03_Census_BlockGroup_DisadvantagedCommunities_2016/FeatureServer  

https://sgma.water.ca.gov/webgis/?appid=SGMADataViewer

https://gis.water.ca.gov/app/dacs/ ",Can also be downloaded from SGMA Dataviewer https://sgma.water.ca.gov/webgis/?appid=SGMADataViewer,
16,http://bit.ly/WaterChallengeDatasetSurvey,"Boundary, Geographic",ALL,CA Bulletin 118 Groundwater Basins*,"This dataset is a feature class showing the boundaries of 517 groundwater basins and subbasins as defined by the California Department of Water Resources as last modified by the Basin Boundary Emergency Regulation adopted on October 21, 2015. Groundwater basins are represented as polygon features and designated on the basis of geological and hydrological conditions - usually the occurrence of alluvial or unconsolidated deposits. When practical, large basins are also subdivided by political boundaries, as in the Central Valley. ",DWR- Department of Water Resources ,Brett Wyckoff,https://data.cnra.ca.gov/dataset/ca-bulletin-118-groundwater-basins,https://gis.water.ca.gov/arcgis/rest/services/Geoscientific/i08_B118_CA_GroundwaterBasins/FeatureServer/0  ,,
17,http://bit.ly/WaterChallengeDatasetSurvey,"Boundary, Geographic",ALL,California ArcGIS Data,"An archive of GIS data with multiple categories including: Farming, Oceans, Demographics, and many more. It is an ArcGIS REST Services Directory",Department of Technology ,John Corotta,N/A,http://services.gis.ca.gov/ArcGIS/rest/services,,
18,http://bit.ly/WaterChallengeDatasetSurvey,Geographic,ALL,Land use by parcel*,"This dataset represents a statewide, comprehensive, field-scale assessment of agricultural land use, as well as urban and managed wetland boundaries for the 2014 year. This data is prepared by Land IQ, LLC and provided to the California Department of Water Resources (DWR) and other resource agencies involved in work and planning efforts across the state for current land use information. This dataset is meant to provide information for resource planning and assessments across multiple agencies and serves as a consistent base layer for a broad array of potential users and multiple end uses. Wolfram candidate",DWR- Department of Water Resources ,Simon Eching,https://data.cnra.ca.gov/dataset/crop-mapping-2014,https://gis.water.ca.gov/app/CADWRLandUseViewer/,"Guidance available at:
https://sgma.water.ca.gov/webgis/config/custom/html/SGMADataViewer/doc/#land-use-datasets",
19,http://bit.ly/WaterChallengeDatasetSurvey,Geographic,ALL,Department of Water Resources Land Use Program,"Since 1950,  DWR has conducted more than 250 land-use surveys of all or parts of California's 58 counties. Early land-use surveys were recorded on U.S. Geological Survey (USGS) 7.5-feet quadrangle paper maps. In 1986, DWR began to develop georeferenced digital maps of land-use survey data, which are available for download. The landuse programs long-term goal for this program is to survey land use more frequently and efficiently using satellite imagery, high-elevation digital imagery, local sources of data, and remote sensing in conjunction with field surveys.",DWR- Department of Water Resources ,Simon Eching,N/A,https://www.water.ca.gov/Programs/Water-Use-And-Efficiency/Land-And-Water-Use/Land-Use-Surveys,"Can also be downloaded from DWR Landuse Viewer
https://gis.water.ca.gov/app/CADWRLandUseViewer/",
20,http://bit.ly/WaterChallengeDatasetSurvey,Geographic,ALL,Exclusive Groundwater Sustainability Agency (GSA) Boundaries,"An exclusive Groundwater sustainability agencies (GSA) is a local agency that has submitted its GSA formation notice to DWR and has not
incurred, or has resolved, any service area overlap with another local agency that also intends to be a GSA. Only exclusive GSAs can coordinate to develop a GSP for a groundwater basin and submit that Groundwater Sustainability Plan to the California Department of Water Resources for review. ",DWR- Department of Water Resources ,SGMP,N/A,"https://sgma.water.ca.gov/portal/service/gsadocument/exclusivegsa
",Can also be downloaded from SGMA Dataviewer https://sgma.water.ca.gov/webgis/?appid=SGMADataViewer,
21,http://bit.ly/WaterChallengeDatasetSurvey,Boundaries,Reliability,California Environmental Health Tracking Program's Drinking Water Systems Geographic Reporting Tool*,Also known as the Water Boundary Tool (WBT). The WBT facilitates the creation and collection of customer service area boundaries for public water systems in California. ,CEHTP,waterdata@waterboards.ca.gov,https://data.ca.gov/dataset/drinking-water-water-system-service-area-boundaries,http://cehtp.org/water/,Boundary Tool Uses: DDW & OEHHA,
